reporting_month,kpi_code,kpi_name,domain,kpi_value,status,previous_month_value,month_on_month_change,trend_direction,warning_boundary,critical_boundary,threshold_gap,threshold_breach,consecutive_warning_months,consecutive_critical_months,deterioration_streak_months,anomaly_method,anomaly_score,anomaly_flag,alert_priority,alert_title,alert_explanation,recommended_management_attention,evidence_source,data_quality_status,analytical_limitation
2025-02-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.02,Normal,33.05,-0.03,Stable,50.0,60.0,16.98,None,0,0,0,Rolling six-month z-score,0.14,Normal,None,Average Patient Waiting Time Within Normal Range,Average Patient Waiting Time is 33.02 Minutes. Status is Normal. Month-on-month decreased by 0.03.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Average Patient Waiting Time uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-02-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.45,Normal,0.81,0.64,Worsening,2.0,2.5,0.55,None,0,0,1,Rolling six-month z-score,0.75,Normal,None,Patient Complaint Rate Within Normal Range,Patient Complaint Rate is 1.45. Status is Normal. Month-on-month increased by 0.64.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Complaint Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-02-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,94.17,Normal,94.98,-0.81,Worsening,75.0,70.0,19.17,None,0,0,1,Rolling six-month z-score,-0.37,Normal,None,Patient Satisfaction Score Within Normal Range,Patient Satisfaction Score is 94.17. Status is Normal. Month-on-month decreased by 0.81.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Satisfaction Score uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-02-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.19,Normal,3.4,-0.21,Improving,7.5,9.5,4.31,None,0,0,0,Rolling six-month z-score,-0.19,Normal,None,Staff Absenteeism Rate Within Normal Range,Staff Absenteeism Rate is 3.19. Status is Normal. Month-on-month decreased by 0.21.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staff Absenteeism Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-02-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.81,Normal,96.6,0.21,Improving,92.0,90.0,4.81,None,0,0,0,Rolling six-month z-score,0.19,Normal,None,Staffing Level Within Normal Range,Staffing Level is 96.81. Status is Normal. Month-on-month increased by 0.21.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staffing Level uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-03-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,61.11,Normal,63.82,-2.71,Improving,85.0,90.0,23.89,None,0,0,0,Rolling six-month z-score,-2.61,Strong Anomaly,Low,Bed Occupancy Rate Shows Statistical Anomaly,Bed Occupancy Rate is 61.11. Status is Normal. Month-on-month decreased by 2.71. A strong statistical anomaly is detected (z-score = -2.61).,Validate unusual movement before intervention.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Bed Occupancy Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-03-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.06,Normal,33.02,0.04,Stable,50.0,60.0,16.94,None,0,0,0,Rolling six-month z-score,0.42,Normal,None,Average Patient Waiting Time Within Normal Range,Average Patient Waiting Time is 33.06 Minutes. Status is Normal. Month-on-month increased by 0.04.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Average Patient Waiting Time uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-03-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.48,Normal,1.45,0.03,Worsening,2.0,2.5,0.52,None,0,0,2,Rolling six-month z-score,0.94,Normal,None,Patient Complaint Rate Within Normal Range,Patient Complaint Rate is 1.48. Status is Normal. Month-on-month increased by 0.03. Deterioration has continued for 2 consecutive months.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Complaint Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-03-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,93.88,Normal,94.17,-0.29,Worsening,75.0,70.0,18.88,None,0,0,2,Rolling six-month z-score,-1.33,Normal,None,Patient Satisfaction Score Within Normal Range,Patient Satisfaction Score is 93.88. Status is Normal. Month-on-month decreased by 0.29. Deterioration has continued for 2 consecutive months.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Satisfaction Score uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-03-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,2.85,Normal,3.19,-0.34,Improving,7.5,9.5,4.65,None,0,0,0,Rolling six-month z-score,-2.62,Strong Anomaly,Low,Staff Absenteeism Rate Shows Statistical Anomaly,Staff Absenteeism Rate is 2.85. Status is Normal. Month-on-month decreased by 0.34. A strong statistical anomaly is detected (z-score = -2.62).,Validate unusual movement before intervention.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staff Absenteeism Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-03-01,WF_STAFF_LEVEL,Staffing Level,Workforce,97.15,Normal,96.81,0.34,Improving,92.0,90.0,5.15,None,0,0,0,Rolling six-month z-score,2.62,Strong Anomaly,Low,Staffing Level Shows Statistical Anomaly,Staffing Level is 97.15. Status is Normal. Month-on-month increased by 0.34. A strong statistical anomaly is detected (z-score = 2.62).,Validate unusual movement before intervention.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staffing Level uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-04-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,70.35,Normal,61.11,9.24,Worsening,85.0,90.0,14.65,None,0,0,1,Rolling six-month z-score,0.62,Normal,None,Bed Occupancy Rate Within Normal Range,Bed Occupancy Rate is 70.35. Status is Normal. Month-on-month increased by 9.24.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Bed Occupancy Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-04-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.1,Normal,33.06,0.04,Stable,50.0,60.0,16.9,None,0,0,0,Rolling six-month z-score,0.71,Normal,None,Average Patient Waiting Time Within Normal Range,Average Patient Waiting Time is 33.1 Minutes. Status is Normal. Month-on-month increased by 0.04.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Average Patient Waiting Time uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-04-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.44,Normal,1.48,-0.04,Improving,2.0,2.5,0.56,None,0,0,0,Rolling six-month z-score,0.6,Normal,None,Patient Complaint Rate Within Normal Range,Patient Complaint Rate is 1.44. Status is Normal. Month-on-month decreased by 0.04.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Complaint Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-04-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,94.21,Normal,93.88,0.33,Improving,75.0,70.0,19.21,None,0,0,0,Rolling six-month z-score,-0.24,Normal,None,Patient Satisfaction Score Within Normal Range,Patient Satisfaction Score is 94.21. Status is Normal. Month-on-month increased by 0.33.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Satisfaction Score uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-04-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.26,Normal,2.85,0.41,Worsening,7.5,9.5,4.24,None,0,0,1,Rolling six-month z-score,0.25,Normal,None,Staff Absenteeism Rate Within Normal Range,Staff Absenteeism Rate is 3.26. Status is Normal. Month-on-month increased by 0.41.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staff Absenteeism Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-04-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.74,Normal,97.15,-0.41,Worsening,92.0,90.0,4.74,None,0,0,1,Rolling six-month z-score,-0.25,Normal,None,Staffing Level Within Normal Range,Staffing Level is 96.74. Status is Normal. Month-on-month decreased by 0.41.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staffing Level uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-05-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,72.66,Normal,70.35,2.31,Worsening,85.0,90.0,12.34,None,0,0,2,Rolling six-month z-score,1.21,Normal,None,Bed Occupancy Rate Within Normal Range,Bed Occupancy Rate is 72.66. Status is Normal. Month-on-month increased by 2.31. Deterioration has continued for 2 consecutive months.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Bed Occupancy Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-05-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,32.94,Normal,33.1,-0.16,Improving,50.0,60.0,17.06,None,0,0,0,Rolling six-month z-score,-1.57,Moderate Anomaly,Low,Average Patient Waiting Time Shows Statistical Anomaly,Average Patient Waiting Time is 32.94 Minutes. Status is Normal. Month-on-month decreased by 0.16. A moderate statistical anomaly is detected (z-score = -1.57).,Validate unusual movement before intervention.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Average Patient Waiting Time uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-05-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.42,Normal,1.44,-0.02,Improving,2.0,2.5,0.58,None,0,0,0,Rolling six-month z-score,0.32,Normal,None,Patient Complaint Rate Within Normal Range,Patient Complaint Rate is 1.42. Status is Normal. Month-on-month decreased by 0.02.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Complaint Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-05-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,93.89,Normal,94.21,-0.32,Worsening,75.0,70.0,18.89,None,0,0,1,Rolling six-month z-score,-1.36,Normal,None,Patient Satisfaction Score Within Normal Range,Patient Satisfaction Score is 93.89. Status is Normal. Month-on-month decreased by 0.32.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Satisfaction Score uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-05-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.34,Normal,3.26,0.08,Stable,7.5,9.5,4.16,None,0,0,0,Rolling six-month z-score,0.44,Normal,None,Staff Absenteeism Rate Within Normal Range,Staff Absenteeism Rate is 3.34. Status is Normal. Month-on-month increased by 0.08.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staff Absenteeism Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-05-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.66,Normal,96.74,-0.08,Stable,92.0,90.0,4.66,None,0,0,0,Rolling six-month z-score,-0.44,Normal,None,Staffing Level Within Normal Range,Staffing Level is 96.66. Status is Normal. Month-on-month decreased by 0.08.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staffing Level uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-06-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,70.83,Normal,72.66,-1.83,Improving,85.0,90.0,14.17,None,0,0,0,Rolling six-month z-score,0.68,Normal,None,Bed Occupancy Rate Within Normal Range,Bed Occupancy Rate is 70.83. Status is Normal. Month-on-month decreased by 1.83.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Bed Occupancy Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-06-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.09,Normal,32.94,0.15,Worsening,50.0,60.0,16.91,None,0,0,1,Rolling six-month z-score,1.16,Normal,None,Average Patient Waiting Time Within Normal Range,Average Patient Waiting Time is 33.09 Minutes. Status is Normal. Month-on-month increased by 0.15.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Average Patient Waiting Time uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-06-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.01,Normal,1.42,-0.41,Improving,2.0,2.5,0.99,None,0,0,0,Rolling six-month z-score,-1.4,Normal,None,Patient Complaint Rate Within Normal Range,Patient Complaint Rate is 1.01. Status is Normal. Month-on-month decreased by 0.41.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Complaint Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-06-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,93.74,Normal,93.89,-0.15,Worsening,75.0,70.0,18.74,None,0,0,2,Rolling six-month z-score,-1.38,Normal,None,Patient Satisfaction Score Within Normal Range,Patient Satisfaction Score is 93.74. Status is Normal. Month-on-month decreased by 0.15. Deterioration has continued for 2 consecutive months.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Satisfaction Score uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-06-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.26,Normal,3.34,-0.08,Stable,7.5,9.5,4.24,None,0,0,0,Rolling six-month z-score,0.07,Normal,None,Staff Absenteeism Rate Within Normal Range,Staff Absenteeism Rate is 3.26. Status is Normal. Month-on-month decreased by 0.08.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staff Absenteeism Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-06-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.74,Normal,96.66,0.08,Stable,92.0,90.0,4.74,None,0,0,0,Rolling six-month z-score,-0.07,Normal,None,Staffing Level Within Normal Range,Staffing Level is 96.74. Status is Normal. Month-on-month increased by 0.08.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staffing Level uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-07-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,65.0,Normal,70.83,-5.83,Improving,85.0,90.0,20.0,None,0,0,0,Rolling six-month z-score,-0.62,Normal,None,Bed Occupancy Rate Within Normal Range,Bed Occupancy Rate is 65.0. Status is Normal. Month-on-month decreased by 5.83.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Bed Occupancy Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-07-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,33.01,Normal,33.09,-0.08,Stable,50.0,60.0,16.99,None,0,0,0,Rolling six-month z-score,-0.63,Normal,None,Average Patient Waiting Time Within Normal Range,Average Patient Waiting Time is 33.01 Minutes. Status is Normal. Month-on-month decreased by 0.08.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Average Patient Waiting Time uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-07-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.45,Normal,1.01,0.44,Worsening,2.0,2.5,0.55,None,0,0,1,Rolling six-month z-score,0.7,Normal,None,Patient Complaint Rate Within Normal Range,Patient Complaint Rate is 1.45. Status is Normal. Month-on-month increased by 0.44.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Complaint Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-07-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,93.85,Normal,93.74,0.11,Improving,75.0,70.0,18.85,None,0,0,0,Rolling six-month z-score,-0.72,Normal,None,Patient Satisfaction Score Within Normal Range,Patient Satisfaction Score is 93.85. Status is Normal. Month-on-month increased by 0.11.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Satisfaction Score uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-07-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.4,Normal,3.26,0.14,Worsening,7.5,9.5,4.1,None,0,0,1,Rolling six-month z-score,1.04,Normal,None,Staff Absenteeism Rate Within Normal Range,Staff Absenteeism Rate is 3.4. Status is Normal. Month-on-month increased by 0.14.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staff Absenteeism Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-07-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.6,Normal,96.74,-0.14,Worsening,92.0,90.0,4.6,None,0,0,1,Rolling six-month z-score,-1.04,Normal,None,Staffing Level Within Normal Range,Staffing Level is 96.6. Status is Normal. Month-on-month decreased by 0.14.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staffing Level uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-08-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,69.16,Normal,65.0,4.16,Worsening,85.0,90.0,15.84,None,0,0,1,Rolling six-month z-score,0.44,Normal,None,Bed Occupancy Rate Within Normal Range,Bed Occupancy Rate is 69.16. Status is Normal. Month-on-month increased by 4.16.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Bed Occupancy Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-08-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,32.91,Normal,33.01,-0.1,Improving,50.0,60.0,17.09,None,0,0,0,Rolling six-month z-score,-2.33,Strong Anomaly,Low,Average Patient Waiting Time Shows Statistical Anomaly,Average Patient Waiting Time is 32.91 Minutes. Status is Normal. Month-on-month decreased by 0.10. A strong statistical anomaly is detected (z-score = -2.33).,Validate unusual movement before intervention.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Average Patient Waiting Time uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-08-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.3,Normal,1.45,-0.15,Improving,2.0,2.5,0.7,None,0,0,0,Rolling six-month z-score,-0.46,Normal,None,Patient Complaint Rate Within Normal Range,Patient Complaint Rate is 1.3. Status is Normal. Month-on-month decreased by 0.15.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Complaint Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-08-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,94.48,Normal,93.85,0.63,Improving,75.0,70.0,19.48,None,0,0,0,Rolling six-month z-score,3.04,Strong Anomaly,Low,Patient Satisfaction Score Shows Statistical Anomaly,Patient Satisfaction Score is 94.48. Status is Normal. Month-on-month increased by 0.63. A strong statistical anomaly is detected (z-score = 3.04).,Validate unusual movement before intervention.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Patient Satisfaction Score uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-08-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.13,Normal,3.4,-0.27,Improving,7.5,9.5,4.37,None,0,0,0,Rolling six-month z-score,-0.49,Normal,None,Staff Absenteeism Rate Within Normal Range,Staff Absenteeism Rate is 3.13. Status is Normal. Month-on-month decreased by 0.27.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staff Absenteeism Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-08-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.87,Normal,96.6,0.27,Improving,92.0,90.0,4.87,None,0,0,0,Rolling six-month z-score,0.49,Normal,None,Staffing Level Within Normal Range,Staffing Level is 96.87. Status is Normal. Month-on-month increased by 0.27.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Staffing Level uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
2025-09-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,74.57,Normal,69.16,5.41,Worsening,85.0,90.0,10.43,None,0,0,2,Rolling six-month z-score,1.62,Moderate Anomaly,Low,Bed Occupancy Rate Shows Statistical Anomaly,Bed Occupancy Rate is 74.57. Status is Normal. Month-on-month increased by 5.41. A moderate statistical anomaly is detected (z-score = 1.62). Deterioration has continued for 2 consecutive months.,Continue routine monitoring.,hospital_kpi_data_v2.csv; kpi_config_v2.csv,Pass,"Anomaly detection for Bed Occupancy Rate uses a rolling six-month z-score on synthetic monthly data. The baseline is short and may not capture seasonal patterns. Statistical association does not establish causation. Thresholds are illustrative prototype assumptions calibrated to the synthetic dataset, not universal hospital standards."
