reporting_month,kpi_code,kpi_name,domain,kpi_value,unit,direction,target_value,warning_threshold,critical_threshold,status,threshold_gap,previous_month_value,month_on_month_change,trend_direction,record_count,numerator_value,denominator_value,data_quality_status,data_quality_note,source_files,calculation_note
2025-09-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,3.29,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,4.21,3.13,0.16,Worsening,5554,183,5554,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2025-09-01,WF_STAFF_LEVEL,Staffing Level,Workforce,96.71,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,4.71,96.87,-0.16,Worsening,5554,5371,5554,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2025-10-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,77.58,Percent (%),range_is_better,85.0,85.0,90.0,Normal,7.42,74.57,3.01,Worsening,124,4762,6138,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2025-10-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,38.03,Minutes,lower_is_better,45.0,50.0,60.0,Normal,11.97,33.05,4.98,Worsening,13479,512651,13479,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2025-10-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.1,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.9,1.13,-0.03,Improving,41,19,17264,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2025-10-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,90.32,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,15.32,94.34,-4.02,Worsening,2811,2539,2811,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2025-10-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,4.12,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,3.38,3.29,0.83,Worsening,5734,236,5734,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2025-10-01,WF_STAFF_LEVEL,Staffing Level,Workforce,95.88,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,3.88,96.71,-0.83,Worsening,5734,5498,5734,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2025-11-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,79.39,Percent (%),range_is_better,85.0,85.0,90.0,Normal,5.61,77.58,1.81,Worsening,120,4692,5910,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2025-11-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,37.93,Minutes,lower_is_better,45.0,50.0,60.0,Normal,12.07,38.03,-0.1,Improving,12498,474038,12498,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2025-11-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.49,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.51,1.1,0.39,Worsening,43,24,16071,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2025-11-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,90.17,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,15.17,90.32,-0.15,Worsening,2645,2385,2645,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2025-11-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,4.5,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,3.0,4.12,0.38,Worsening,5534,249,5534,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2025-11-01,WF_STAFF_LEVEL,Staffing Level,Workforce,95.5,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,3.5,95.88,-0.38,Worsening,5534,5285,5534,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2025-12-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,78.67,Percent (%),range_is_better,85.0,85.0,90.0,Normal,6.33,79.39,-0.72,Improving,124,4809,6113,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2025-12-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,38.06,Minutes,lower_is_better,45.0,50.0,60.0,Normal,11.94,37.93,0.13,Worsening,13182,501764,13182,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2025-12-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.49,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.51,1.49,0.0,Stable,42,25,16821,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2025-12-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,89.84,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,14.84,90.17,-0.33,Worsening,2708,2433,2708,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2025-12-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,4.81,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,2.69,4.5,0.31,Worsening,5740,276,5740,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2025-12-01,WF_STAFF_LEVEL,Staffing Level,Workforce,95.19,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,3.19,95.5,-0.31,Worsening,5740,5464,5740,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2026-01-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,81.83,Percent (%),range_is_better,85.0,85.0,90.0,Normal,3.17,78.67,3.16,Worsening,124,5011,6124,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2026-01-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,42.08,Minutes,lower_is_better,45.0,50.0,60.0,Normal,7.92,38.06,4.02,Worsening,12861,541141,12861,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2026-01-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,1.22,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Normal,0.78,1.49,-0.27,Improving,36,20,16399,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2026-01-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,84.72,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,9.72,89.84,-5.12,Worsening,2722,2306,2722,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2026-01-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,6.43,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,1.07,4.81,1.62,Worsening,5727,368,5727,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2026-01-01,WF_STAFF_LEVEL,Staffing Level,Workforce,93.57,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,1.57,95.19,-1.62,Worsening,5727,5359,5727,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2026-02-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,81.35,Percent (%),range_is_better,85.0,85.0,90.0,Normal,3.65,81.83,-0.48,Improving,112,4511,5545,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2026-02-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,45.4,Minutes,lower_is_better,45.0,50.0,60.0,Normal,4.6,42.08,3.32,Worsening,11398,517519,11398,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2026-02-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,2.8,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Critical,-0.8,1.22,1.58,Worsening,59,41,14645,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2026-02-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,79.38,Percent (%),higher_is_better,85.0,75.0,70.0,Normal,4.38,84.72,-5.34,Worsening,2367,1879,2367,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2026-02-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,6.76,Percent (%),lower_is_better,5.0,7.5,9.5,Normal,0.74,6.43,0.33,Worsening,5176,350,5176,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2026-02-01,WF_STAFF_LEVEL,Staffing Level,Workforce,93.24,Percent (%),higher_is_better,95.0,92.0,90.0,Normal,1.24,93.57,-0.33,Worsening,5176,4826,5176,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2026-03-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,83.24,Percent (%),range_is_better,85.0,85.0,90.0,Normal,1.76,81.35,1.89,Worsening,124,5106,6134,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2026-03-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,55.16,Minutes,lower_is_better,45.0,50.0,60.0,Warning,-5.16,45.4,9.76,Worsening,13649,752946,13649,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2026-03-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,2.35,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Warning,-0.35,2.8,-0.45,Improving,69,41,17426,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2026-03-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,67.93,Percent (%),higher_is_better,85.0,75.0,70.0,Critical,-7.07,79.38,-11.45,Worsening,2841,1930,2841,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2026-03-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,9.61,Percent (%),lower_is_better,5.0,7.5,9.5,Critical,-2.11,6.76,2.85,Worsening,5733,551,5733,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2026-03-01,WF_STAFF_LEVEL,Staffing Level,Workforce,90.39,Percent (%),higher_is_better,95.0,92.0,90.0,Warning,-1.61,93.24,-2.85,Worsening,5733,5182,5733,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2026-04-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,84.52,Percent (%),range_is_better,85.0,85.0,90.0,Normal,0.48,83.24,1.28,Worsening,120,5006,5923,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2026-04-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,55.52,Minutes,lower_is_better,45.0,50.0,60.0,Warning,-5.52,55.16,0.36,Worsening,12706,705384,12706,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2026-04-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,2.02,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Warning,-0.02,2.35,-0.33,Improving,53,33,16314,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2026-04-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,68.96,Percent (%),higher_is_better,85.0,75.0,70.0,Critical,-6.04,67.93,1.03,Improving,2664,1837,2664,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2026-04-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,8.51,Percent (%),lower_is_better,5.0,7.5,9.5,Warning,-1.01,9.61,-1.1,Improving,5548,472,5548,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2026-04-01,WF_STAFF_LEVEL,Staffing Level,Workforce,91.49,Percent (%),higher_is_better,95.0,92.0,90.0,Warning,-0.51,90.39,1.1,Improving,5548,5076,5548,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2026-05-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,85.55,Percent (%),range_is_better,85.0,85.0,90.0,Warning,-0.55,84.52,1.03,Worsening,124,5241,6126,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2026-05-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,55.77,Minutes,lower_is_better,45.0,50.0,60.0,Warning,-5.77,55.52,0.25,Worsening,12673,706752,12673,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2026-05-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,2.21,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Warning,-0.21,2.02,0.19,Worsening,58,36,16315,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2026-05-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,68.55,Percent (%),higher_is_better,85.0,75.0,70.0,Critical,-6.45,68.96,-0.41,Worsening,2598,1781,2598,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2026-05-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,9.28,Percent (%),lower_is_better,5.0,7.5,9.5,Warning,-1.78,8.51,0.77,Worsening,5720,531,5720,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2026-05-01,WF_STAFF_LEVEL,Staffing Level,Workforce,90.72,Percent (%),higher_is_better,95.0,92.0,90.0,Warning,-1.28,91.49,-0.77,Worsening,5720,5189,5720,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
2026-06-01,OP_BED_OCCUPANCY,Bed Occupancy Rate,Operations,84.72,Percent (%),range_is_better,85.0,85.0,90.0,Normal,0.28,85.55,-0.83,Improving,120,5025,5931,Pass,No material data-quality issue identified.,bed_occupancy_records_v1.csv,Calculated from synthetic prototype data.
2026-06-01,OP_WAIT_TIME,Average Patient Waiting Time,Operations,58.72,Minutes,lower_is_better,45.0,50.0,60.0,Warning,-8.72,55.77,2.95,Worsening,12799,751527,12799,Pass,No material data-quality issue identified.,patient_queue_records_v1.csv,Calculated from synthetic prototype data. Only Completed queue visits included.
2026-06-01,PX_COMPLAINT_RATE,Patient Complaint Rate,Patient Experience,2.24,"Per 1,000 Encounters",lower_is_better,1.5,2.0,2.5,Warning,-0.24,2.21,0.03,Worsening,64,37,16486,Pass,No material data-quality issue identified.,"patient_complaints_v1.csv, patient_encounters_v1.csv",Calculated from synthetic prototype data. Only formal complaints included.
2026-06-01,PX_SATISFACTION,Patient Satisfaction Score,Patient Experience,67.58,Percent (%),higher_is_better,85.0,75.0,70.0,Critical,-7.42,68.55,-0.97,Worsening,2616,1768,2616,Pass,No material data-quality issue identified.,patient_survey_v1.csv,Calculated from synthetic prototype data. Only non-null overall_score values included.
2026-06-01,WF_ABSENCE_RATE,Staff Absenteeism Rate,Workforce,9.83,Percent (%),lower_is_better,5.0,7.5,9.5,Critical,-2.33,9.28,0.55,Worsening,5554,546,5554,Pass,No material data-quality issue identified.,"staff_attendance_v1.csv, staff_roster_v1.csv",Calculated from synthetic prototype data.
2026-06-01,WF_STAFF_LEVEL,Staffing Level,Workforce,90.17,Percent (%),higher_is_better,95.0,92.0,90.0,Warning,-1.83,90.72,-0.55,Worsening,5554,5008,5554,Pass,No material data-quality issue identified.,"staff_roster_v1.csv, staff_attendance_v1.csv","Calculated from synthetic prototype data with correct deduplication by (roster_date, department, shift, staff_category)."
