bed_record_id,hospital_id,hospital_name,record_date,ward,licensed_beds,blocked_beds,usable_beds,opening_occupied_beds,admissions,transfers_in,discharges,transfers_out,deaths_or_other_exits,closing_occupied_beds,occupancy_rate_pct,occupancy_status,source_system,synthetic_flag
BED000517,KPJ_01,JCORP Specialist Hospital,2024-11-07,Medical Ward,60,1,59,45,4,1,3,1,0,46,77.97,Normal,Bed Management System,True
BED000518,KPJ_01,JCORP Specialist Hospital,2024-11-07,Surgical Ward,55,3,52,44,4,1,3,0,6,40,76.92,Normal,Bed Management System,True
BED000519,KPJ_01,JCORP Specialist Hospital,2024-11-07,Maternity Ward,45,0,45,24,3,0,2,0,0,25,55.56,Underutilised,Bed Management System,True
BED000520,KPJ_01,JCORP Specialist Hospital,2024-11-07,Paediatric Ward,40,1,39,29,2,0,2,0,1,28,71.79,Underutilised,Bed Management System,True
BED000521,KPJ_01,JCORP Specialist Hospital,2024-11-08,Medical Ward,60,0,60,46,4,1,4,1,0,46,76.67,Normal,Bed Management System,True
BED000522,KPJ_01,JCORP Specialist Hospital,2024-11-08,Surgical Ward,55,2,53,40,3,0,3,1,0,39,73.58,Underutilised,Bed Management System,True
BED000523,KPJ_01,JCORP Specialist Hospital,2024-11-08,Maternity Ward,45,1,44,25,2,0,3,0,0,24,54.55,Underutilised,Bed Management System,True
BED000524,KPJ_01,JCORP Specialist Hospital,2024-11-08,Paediatric Ward,40,1,39,28,2,0,2,0,0,28,71.79,Underutilised,Bed Management System,True
BED000525,KPJ_01,JCORP Specialist Hospital,2024-11-09,Medical Ward,60,0,60,46,5,0,6,1,0,44,73.33,Underutilised,Bed Management System,True
BED000526,KPJ_01,JCORP Specialist Hospital,2024-11-09,Surgical Ward,55,0,55,39,5,0,5,1,0,38,69.09,Underutilised,Bed Management System,True
BED000527,KPJ_01,JCORP Specialist Hospital,2024-11-09,Maternity Ward,45,0,45,24,3,0,4,1,0,22,48.89,Underutilised,Bed Management System,True
BED000528,KPJ_01,JCORP Specialist Hospital,2024-11-09,Paediatric Ward,40,0,40,28,3,0,3,0,0,28,70.0,Underutilised,Bed Management System,True
BED000529,KPJ_01,JCORP Specialist Hospital,2024-11-10,Medical Ward,60,3,57,44,5,1,5,1,0,44,77.19,Normal,Bed Management System,True
BED000530,KPJ_01,JCORP Specialist Hospital,2024-11-10,Surgical Ward,55,3,52,38,4,1,4,0,0,39,75.0,Normal,Bed Management System,True
BED000531,KPJ_01,JCORP Specialist Hospital,2024-11-10,Maternity Ward,45,1,44,22,3,0,3,0,0,22,50.0,Underutilised,Bed Management System,True
BED000532,KPJ_01,JCORP Specialist Hospital,2024-11-10,Paediatric Ward,40,0,40,28,3,0,3,0,0,28,70.0,Underutilised,Bed Management System,True
BED000533,KPJ_01,JCORP Specialist Hospital,2024-11-11,Medical Ward,60,3,57,44,5,1,4,1,0,45,78.95,Normal,Bed Management System,True
BED000534,KPJ_01,JCORP Specialist Hospital,2024-11-11,Surgical Ward,55,0,55,39,4,1,3,1,0,40,72.73,Underutilised,Bed Management System,True
BED000535,KPJ_01,JCORP Specialist Hospital,2024-11-11,Maternity Ward,45,0,45,22,3,0,3,0,0,22,48.89,Underutilised,Bed Management System,True
BED000536,KPJ_01,JCORP Specialist Hospital,2024-11-11,Paediatric Ward,40,0,40,28,2,0,2,0,0,28,70.0,Underutilised,Bed Management System,True
BED000537,KPJ_01,JCORP Specialist Hospital,2024-11-12,Medical Ward,60,1,59,45,5,1,4,1,0,46,77.97,Normal,Bed Management System,True
BED000538,KPJ_01,JCORP Specialist Hospital,2024-11-12,Surgical Ward,55,0,55,40,4,1,3,0,0,42,76.36,Normal,Bed Management System,True
BED000539,KPJ_01,JCORP Specialist Hospital,2024-11-12,Maternity Ward,45,0,45,22,3,0,2,0,0,23,51.11,Underutilised,Bed Management System,True
BED000540,KPJ_01,JCORP Specialist Hospital,2024-11-12,Paediatric Ward,40,0,40,28,3,0,2,0,1,28,70.0,Underutilised,Bed Management System,True
BED000541,KPJ_01,JCORP Specialist Hospital,2024-11-13,Medical Ward,60,1,59,46,6,1,5,1,1,46,77.97,Normal,Bed Management System,True
BED000542,KPJ_01,JCORP Specialist Hospital,2024-11-13,Surgical Ward,55,1,54,42,6,0,5,1,0,42,77.78,Normal,Bed Management System,True
BED000543,KPJ_01,JCORP Specialist Hospital,2024-11-13,Maternity Ward,45,0,45,23,4,0,3,0,0,24,53.33,Underutilised,Bed Management System,True
BED000544,KPJ_01,JCORP Specialist Hospital,2024-11-13,Paediatric Ward,40,1,39,28,3,0,3,0,1,27,69.23,Underutilised,Bed Management System,True
BED000545,KPJ_01,JCORP Specialist Hospital,2024-11-14,Medical Ward,60,0,60,46,5,1,5,1,0,46,76.67,Normal,Bed Management System,True
BED000546,KPJ_01,JCORP Specialist Hospital,2024-11-14,Surgical Ward,55,0,55,42,5,0,4,1,0,42,76.36,Normal,Bed Management System,True
BED000547,KPJ_01,JCORP Specialist Hospital,2024-11-14,Maternity Ward,45,2,43,24,3,0,3,0,0,24,55.81,Underutilised,Bed Management System,True
BED000548,KPJ_01,JCORP Specialist Hospital,2024-11-14,Paediatric Ward,40,0,40,27,3,0,3,0,0,27,67.5,Underutilised,Bed Management System,True
BED000549,KPJ_01,JCORP Specialist Hospital,2024-11-15,Medical Ward,60,0,60,46,4,1,4,1,0,46,76.67,Normal,Bed Management System,True
BED000550,KPJ_01,JCORP Specialist Hospital,2024-11-15,Surgical Ward,55,0,55,42,4,1,3,0,0,44,80.0,Normal,Bed Management System,True
BED000551,KPJ_01,JCORP Specialist Hospital,2024-11-15,Maternity Ward,45,1,44,24,3,0,3,0,0,24,54.55,Underutilised,Bed Management System,True
BED000552,KPJ_01,JCORP Specialist Hospital,2024-11-15,Paediatric Ward,40,0,40,27,2,0,2,0,0,27,67.5,Underutilised,Bed Management System,True
BED000553,KPJ_01,JCORP Specialist Hospital,2024-11-16,Medical Ward,60,3,57,46,5,1,4,1,1,46,80.7,Normal,Bed Management System,True
BED000554,KPJ_01,JCORP Specialist Hospital,2024-11-16,Surgical Ward,55,1,54,44,4,1,4,0,3,42,77.78,Normal,Bed Management System,True
BED000555,KPJ_01,JCORP Specialist Hospital,2024-11-16,Maternity Ward,45,1,44,24,3,0,3,0,0,24,54.55,Underutilised,Bed Management System,True
BED000556,KPJ_01,JCORP Specialist Hospital,2024-11-16,Paediatric Ward,40,0,40,27,3,0,2,0,1,27,67.5,Underutilised,Bed Management System,True
BED000557,KPJ_01,JCORP Specialist Hospital,2024-11-17,Medical Ward,60,0,60,46,6,1,5,1,1,46,76.67,Normal,Bed Management System,True
BED000558,KPJ_01,JCORP Specialist Hospital,2024-11-17,Surgical Ward,55,0,55,42,5,0,4,1,0,42,76.36,Normal,Bed Management System,True
BED000559,KPJ_01,JCORP Specialist Hospital,2024-11-17,Maternity Ward,45,0,45,24,4,0,3,1,0,24,53.33,Underutilised,Bed Management System,True
BED000560,KPJ_01,JCORP Specialist Hospital,2024-11-17,Paediatric Ward,40,2,38,27,3,0,2,0,0,28,73.68,Underutilised,Bed Management System,True
BED000561,KPJ_01,JCORP Specialist Hospital,2024-11-18,Medical Ward,60,0,60,46,5,1,6,1,0,45,75.0,Normal,Bed Management System,True
BED000562,KPJ_01,JCORP Specialist Hospital,2024-11-18,Surgical Ward,55,0,55,42,5,1,6,1,0,41,74.55,Underutilised,Bed Management System,True
BED000563,KPJ_01,JCORP Specialist Hospital,2024-11-18,Maternity Ward,45,0,45,24,3,1,4,0,0,24,53.33,Underutilised,Bed Management System,True
BED000564,KPJ_01,JCORP Specialist Hospital,2024-11-18,Paediatric Ward,40,1,39,28,3,0,3,0,0,28,71.79,Underutilised,Bed Management System,True
BED000565,KPJ_01,JCORP Specialist Hospital,2024-11-19,Medical Ward,60,0,60,45,5,1,5,1,0,45,75.0,Normal,Bed Management System,True
BED000566,KPJ_01,JCORP Specialist Hospital,2024-11-19,Surgical Ward,55,0,55,41,5,0,4,1,0,41,74.55,Underutilised,Bed Management System,True
BED000567,KPJ_01,JCORP Specialist Hospital,2024-11-19,Maternity Ward,45,0,45,24,3,0,3,0,0,24,53.33,Underutilised,Bed Management System,True
BED000568,KPJ_01,JCORP Specialist Hospital,2024-11-19,Paediatric Ward,40,1,39,28,3,0,3,0,0,28,71.79,Underutilised,Bed Management System,True
BED000569,KPJ_01,JCORP Specialist Hospital,2024-11-20,Medical Ward,60,1,59,45,5,1,4,1,0,46,77.97,Normal,Bed Management System,True
BED000570,KPJ_01,JCORP Specialist Hospital,2024-11-20,Surgical Ward,55,0,55,41,5,1,4,1,0,42,76.36,Normal,Bed Management System,True
BED000571,KPJ_01,JCORP Specialist Hospital,2024-11-20,Maternity Ward,45,1,44,24,3,1,3,0,0,25,56.82,Underutilised,Bed Management System,True
BED000572,KPJ_01,JCORP Specialist Hospital,2024-11-20,Paediatric Ward,40,3,37,28,3,0,2,0,0,29,78.38,Normal,Bed Management System,True
BED000573,KPJ_01,JCORP Specialist Hospital,2024-11-21,Medical Ward,60,0,60,46,4,1,3,1,0,47,78.33,Normal,Bed Management System,True
BED000574,KPJ_01,JCORP Specialist Hospital,2024-11-21,Surgical Ward,55,1,54,42,4,0,3,1,0,42,77.78,Normal,Bed Management System,True
BED000575,KPJ_01,JCORP Specialist Hospital,2024-11-21,Maternity Ward,45,0,45,25,3,0,2,0,0,26,57.78,Underutilised,Bed Management System,True
BED000576,KPJ_01,JCORP Specialist Hospital,2024-11-21,Paediatric Ward,40,0,40,29,2,0,2,0,0,29,72.5,Underutilised,Bed Management System,True
BED000577,KPJ_01,JCORP Specialist Hospital,2024-11-22,Medical Ward,60,0,60,47,5,1,4,0,1,48,80.0,Normal,Bed Management System,True
BED000578,KPJ_01,JCORP Specialist Hospital,2024-11-22,Surgical Ward,55,0,55,42,4,1,4,0,0,43,78.18,Normal,Bed Management System,True
BED000579,KPJ_01,JCORP Specialist Hospital,2024-11-22,Maternity Ward,45,1,44,26,3,0,3,0,1,25,56.82,Underutilised,Bed Management System,True
BED000580,KPJ_01,JCORP Specialist Hospital,2024-11-22,Paediatric Ward,40,2,38,29,2,0,2,0,0,29,76.32,Normal,Bed Management System,True
BED000581,KPJ_01,JCORP Specialist Hospital,2024-11-23,Medical Ward,60,1,59,48,5,1,5,1,1,47,79.66,Normal,Bed Management System,True
BED000582,KPJ_01,JCORP Specialist Hospital,2024-11-23,Surgical Ward,55,0,55,43,5,1,4,1,0,44,80.0,Normal,Bed Management System,True
BED000583,KPJ_01,JCORP Specialist Hospital,2024-11-23,Maternity Ward,45,0,45,25,3,0,3,1,0,24,53.33,Underutilised,Bed Management System,True
BED000584,KPJ_01,JCORP Specialist Hospital,2024-11-23,Paediatric Ward,40,0,40,29,3,0,2,0,0,30,75.0,Normal,Bed Management System,True
BED000585,KPJ_01,JCORP Specialist Hospital,2024-11-24,Medical Ward,60,0,60,47,4,1,5,1,0,46,76.67,Normal,Bed Management System,True
BED000586,KPJ_01,JCORP Specialist Hospital,2024-11-24,Surgical Ward,55,0,55,44,4,1,5,1,0,43,78.18,Normal,Bed Management System,True
BED000587,KPJ_01,JCORP Specialist Hospital,2024-11-24,Maternity Ward,45,0,45,24,3,1,3,0,0,25,55.56,Underutilised,Bed Management System,True
BED000588,KPJ_01,JCORP Specialist Hospital,2024-11-24,Paediatric Ward,40,0,40,30,2,1,3,0,0,30,75.0,Normal,Bed Management System,True
BED000589,KPJ_01,JCORP Specialist Hospital,2024-11-25,Medical Ward,60,0,60,46,5,1,5,1,0,46,76.67,Normal,Bed Management System,True
BED000590,KPJ_01,JCORP Specialist Hospital,2024-11-25,Surgical Ward,55,0,55,43,5,1,5,0,0,44,80.0,Normal,Bed Management System,True
BED000591,KPJ_01,JCORP Specialist Hospital,2024-11-25,Maternity Ward,45,0,45,25,3,0,3,0,0,25,55.56,Underutilised,Bed Management System,True
BED000592,KPJ_01,JCORP Specialist Hospital,2024-11-25,Paediatric Ward,40,0,40,30,3,0,3,0,0,30,75.0,Normal,Bed Management System,True
BED000593,KPJ_01,JCORP Specialist Hospital,2024-11-26,Medical Ward,60,2,58,46,5,1,4,1,0,47,81.03,Normal,Bed Management System,True
BED000594,KPJ_01,JCORP Specialist Hospital,2024-11-26,Surgical Ward,55,1,54,44,4,1,4,0,2,43,79.63,Normal,Bed Management System,True
BED000595,KPJ_01,JCORP Specialist Hospital,2024-11-26,Maternity Ward,45,0,45,25,3,1,3,0,0,26,57.78,Underutilised,Bed Management System,True
BED000596,KPJ_01,JCORP Specialist Hospital,2024-11-26,Paediatric Ward,40,1,39,30,2,0,2,0,1,29,74.36,Underutilised,Bed Management System,True
BED000597,KPJ_01,JCORP Specialist Hospital,2024-11-27,Medical Ward,60,0,60,47,6,1,5,1,0,48,80.0,Normal,Bed Management System,True
BED000598,KPJ_01,JCORP Specialist Hospital,2024-11-27,Surgical Ward,55,0,55,43,5,0,5,1,0,42,76.36,Normal,Bed Management System,True
BED000599,KPJ_01,JCORP Specialist Hospital,2024-11-27,Maternity Ward,45,1,44,26,3,0,3,0,0,26,59.09,Underutilised,Bed Management System,True
BED000600,KPJ_01,JCORP Specialist Hospital,2024-11-27,Paediatric Ward,40,0,40,29,3,0,3,0,0,29,72.5,Underutilised,Bed Management System,True
BED000601,KPJ_01,JCORP Specialist Hospital,2024-11-28,Medical Ward,60,0,60,48,5,1,5,1,0,48,80.0,Normal,Bed Management System,True
BED000602,KPJ_01,JCORP Specialist Hospital,2024-11-28,Surgical Ward,55,0,55,42,5,0,5,0,0,42,76.36,Normal,Bed Management System,True
BED000603,KPJ_01,JCORP Specialist Hospital,2024-11-28,Maternity Ward,45,1,44,26,3,0,3,0,0,26,59.09,Underutilised,Bed Management System,True
BED000604,KPJ_01,JCORP Specialist Hospital,2024-11-28,Paediatric Ward,40,0,40,29,3,0,3,0,0,29,72.5,Underutilised,Bed Management System,True
BED000605,KPJ_01,JCORP Specialist Hospital,2024-11-29,Medical Ward,60,1,59,48,5,1,3,1,3,47,79.66,Normal,Bed Management System,True
BED000606,KPJ_01,JCORP Specialist Hospital,2024-11-29,Surgical Ward,55,0,55,42,4,1,3,0,0,44,80.0,Normal,Bed Management System,True
BED000607,KPJ_01,JCORP Specialist Hospital,2024-11-29,Maternity Ward,45,0,45,26,3,0,2,0,0,27,60.0,Underutilised,Bed Management System,True
BED000608,KPJ_01,JCORP Specialist Hospital,2024-11-29,Paediatric Ward,40,0,40,29,2,0,1,0,0,30,75.0,Normal,Bed Management System,True
BED000609,KPJ_01,JCORP Specialist Hospital,2024-11-30,Medical Ward,60,0,60,47,6,1,6,1,0,47,78.33,Normal,Bed Management System,True
BED000610,KPJ_01,JCORP Specialist Hospital,2024-11-30,Surgical Ward,55,0,55,44,5,1,5,1,0,44,80.0,Normal,Bed Management System,True
BED000611,KPJ_01,JCORP Specialist Hospital,2024-11-30,Maternity Ward,45,0,45,27,3,1,3,0,0,28,62.22,Underutilised,Bed Management System,True
BED000612,KPJ_01,JCORP Specialist Hospital,2024-11-30,Paediatric Ward,40,0,40,30,3,1,3,0,0,31,77.5,Normal,Bed Management System,True
BED000613,KPJ_01,JCORP Specialist Hospital,2024-12-01,Medical Ward,60,2,58,47,6,1,6,1,1,46,79.31,Normal,Bed Management System,True
BED000614,KPJ_01,JCORP Specialist Hospital,2024-12-01,Surgical Ward,55,0,55,44,6,1,6,1,1,43,78.18,Normal,Bed Management System,True
BED000615,KPJ_01,JCORP Specialist Hospital,2024-12-01,Maternity Ward,45,0,45,28,4,1,4,1,0,28,62.22,Underutilised,Bed Management System,True
BED000616,KPJ_01,JCORP Specialist Hospital,2024-12-01,Paediatric Ward,40,1,39,31,3,0,3,0,1,30,76.92,Normal,Bed Management System,True
BED000617,KPJ_01,JCORP Specialist Hospital,2024-12-02,Medical Ward,60,1,59,46,5,1,3,0,2,47,79.66,Normal,Bed Management System,True
BED000618,KPJ_01,JCORP Specialist Hospital,2024-12-02,Surgical Ward,55,1,54,43,4,1,3,0,2,43,79.63,Normal,Bed Management System,True
BED000619,KPJ_01,JCORP Specialist Hospital,2024-12-02,Maternity Ward,45,0,45,28,3,0,2,0,0,29,64.44,Underutilised,Bed Management System,True
BED000620,KPJ_01,JCORP Specialist Hospital,2024-12-02,Paediatric Ward,40,1,39,30,2,0,2,0,0,30,76.92,Normal,Bed Management System,True
BED000621,KPJ_01,JCORP Specialist Hospital,2024-12-03,Medical Ward,60,0,60,47,5,1,5,1,0,47,78.33,Normal,Bed Management System,True
BED000622,KPJ_01,JCORP Specialist Hospital,2024-12-03,Surgical Ward,55,0,55,43,4,1,5,1,0,42,76.36,Normal,Bed Management System,True
BED000623,KPJ_01,JCORP Specialist Hospital,2024-12-03,Maternity Ward,45,2,43,29,3,1,3,0,0,30,69.77,Underutilised,Bed Management System,True
BED000624,KPJ_01,JCORP Specialist Hospital,2024-12-03,Paediatric Ward,40,3,37,30,3,0,3,0,2,28,75.68,Normal,Bed Management System,True
BED000625,KPJ_01,JCORP Specialist Hospital,2024-12-04,Medical Ward,60,0,60,47,5,1,5,1,0,47,78.33,Normal,Bed Management System,True
BED000626,KPJ_01,JCORP Specialist Hospital,2024-12-04,Surgical Ward,55,3,52,42,4,1,5,1,0,41,78.85,Normal,Bed Management System,True
BED000627,KPJ_01,JCORP Specialist Hospital,2024-12-04,Maternity Ward,45,1,44,30,3,0,3,0,0,30,68.18,Underutilised,Bed Management System,True
BED000628,KPJ_01,JCORP Specialist Hospital,2024-12-04,Paediatric Ward,40,1,39,28,3,0,3,0,0,28,71.79,Underutilised,Bed Management System,True
BED000629,KPJ_01,JCORP Specialist Hospital,2024-12-05,Medical Ward,60,0,60,47,5,0,6,1,0,45,75.0,Normal,Bed Management System,True
BED000630,KPJ_01,JCORP Specialist Hospital,2024-12-05,Surgical Ward,55,3,52,41,5,0,5,1,0,40,76.92,Normal,Bed Management System,True
BED000631,KPJ_01,JCORP Specialist Hospital,2024-12-05,Maternity Ward,45,0,45,30,3,0,3,0,0,30,66.67,Underutilised,Bed Management System,True
BED000632,KPJ_01,JCORP Specialist Hospital,2024-12-05,Paediatric Ward,40,0,40,28,3,0,3,0,0,28,70.0,Underutilised,Bed Management System,True
BED000633,KPJ_01,JCORP Specialist Hospital,2024-12-06,Medical Ward,60,1,59,45,6,1,7,1,0,44,74.58,Underutilised,Bed Management System,True
BED000634,KPJ_01,JCORP Specialist Hospital,2024-12-06,Surgical Ward,55,1,54,40,6,0,6,0,0,40,74.07,Underutilised,Bed Management System,True
BED000635,KPJ_01,JCORP Specialist Hospital,2024-12-06,Maternity Ward,45,0,45,30,4,0,5,0,0,29,64.44,Underutilised,Bed Management System,True
BED000636,KPJ_01,JCORP Specialist Hospital,2024-12-06,Paediatric Ward,40,2,38,28,3,0,3,0,0,28,73.68,Underutilised,Bed Management System,True
BED000637,KPJ_01,JCORP Specialist Hospital,2024-12-07,Medical Ward,60,1,59,44,5,1,4,1,0,45,76.27,Normal,Bed Management System,True
BED000638,KPJ_01,JCORP Specialist Hospital,2024-12-07,Surgical Ward,55,1,54,40,4,1,3,0,0,42,77.78,Normal,Bed Management System,True
BED000639,KPJ_01,JCORP Specialist Hospital,2024-12-07,Maternity Ward,45,0,45,29,3,1,3,0,0,30,66.67,Underutilised,Bed Management System,True
BED000640,KPJ_01,JCORP Specialist Hospital,2024-12-07,Paediatric Ward,40,3,37,28,2,0,2,0,0,28,75.68,Normal,Bed Management System,True
BED000641,KPJ_01,JCORP Specialist Hospital,2024-12-08,Medical Ward,60,0,60,45,4,1,3,1,0,46,76.67,Normal,Bed Management System,True
BED000642,KPJ_01,JCORP Specialist Hospital,2024-12-08,Surgical Ward,55,3,52,42,3,0,3,1,0,41,78.85,Normal,Bed Management System,True
BED000643,KPJ_01,JCORP Specialist Hospital,2024-12-08,Maternity Ward,45,0,45,30,2,0,2,0,0,30,66.67,Underutilised,Bed Management System,True
BED000644,KPJ_01,JCORP Specialist Hospital,2024-12-08,Paediatric Ward,40,0,40,28,2,0,1,0,0,29,72.5,Underutilised,Bed Management System,True
BED000645,KPJ_01,JCORP Specialist Hospital,2024-12-09,Medical Ward,60,0,60,46,5,1,4,1,0,47,78.33,Normal,Bed Management System,True
BED000646,KPJ_01,JCORP Specialist Hospital,2024-12-09,Surgical Ward,55,0,55,41,4,1,4,1,0,41,74.55,Underutilised,Bed Management System,True
BED000647,KPJ_01,JCORP Specialist Hospital,2024-12-09,Maternity Ward,45,0,45,30,3,1,3,0,0,31,68.89,Underutilised,Bed Management System,True
BED000648,KPJ_01,JCORP Specialist Hospital,2024-12-09,Paediatric Ward,40,1,39,29,3,0,2,0,0,30,76.92,Normal,Bed Management System,True
BED000649,KPJ_01,JCORP Specialist Hospital,2024-12-10,Medical Ward,60,2,58,47,6,1,5,1,2,46,79.31,Normal,Bed Management System,True
BED000650,KPJ_01,JCORP Specialist Hospital,2024-12-10,Surgical Ward,55,0,55,41,6,1,5,0,0,43,78.18,Normal,Bed Management System,True
BED000651,KPJ_01,JCORP Specialist Hospital,2024-12-10,Maternity Ward,45,0,45,31,4,0,3,0,0,32,71.11,Underutilised,Bed Management System,True
BED000652,KPJ_01,JCORP Specialist Hospital,2024-12-10,Paediatric Ward,40,1,39,30,3,0,3,0,0,30,76.92,Normal,Bed Management System,True
BED000653,KPJ_01,JCORP Specialist Hospital,2024-12-11,Medical Ward,60,2,58,46,4,1,5,1,0,45,77.59,Normal,Bed Management System,True
BED000654,KPJ_01,JCORP Specialist Hospital,2024-12-11,Surgical Ward,55,0,55,43,3,1,4,1,0,42,76.36,Normal,Bed Management System,True
BED000655,KPJ_01,JCORP Specialist Hospital,2024-12-11,Maternity Ward,45,0,45,32,3,1,3,0,0,33,73.33,Underutilised,Bed Management System,True
BED000656,KPJ_01,JCORP Specialist Hospital,2024-12-11,Paediatric Ward,40,3,37,30,2,0,2,0,2,28,75.68,Normal,Bed Management System,True
BED000657,KPJ_01,JCORP Specialist Hospital,2024-12-12,Medical Ward,60,0,60,45,6,1,7,1,0,44,73.33,Underutilised,Bed Management System,True
BED000658,KPJ_01,JCORP Specialist Hospital,2024-12-12,Surgical Ward,55,0,55,42,5,1,6,1,1,40,72.73,Underutilised,Bed Management System,True
BED000659,KPJ_01,JCORP Specialist Hospital,2024-12-12,Maternity Ward,45,0,45,33,4,0,4,0,1,32,71.11,Underutilised,Bed Management System,True
BED000660,KPJ_01,JCORP Specialist Hospital,2024-12-12,Paediatric Ward,40,0,40,28,3,0,3,0,0,28,70.0,Underutilised,Bed Management System,True
BED000661,KPJ_01,JCORP Specialist Hospital,2024-12-13,Medical Ward,60,0,60,44,5,1,5,1,0,44,73.33,Underutilised,Bed Management System,True
BED000662,KPJ_01,JCORP Specialist Hospital,2024-12-13,Surgical Ward,55,0,55,40,4,1,4,0,0,41,74.55,Underutilised,Bed Management System,True
BED000663,KPJ_01,JCORP Specialist Hospital,2024-12-13,Maternity Ward,45,0,45,32,3,0,3,0,0,32,71.11,Underutilised,Bed Management System,True
BED000664,KPJ_01,JCORP Specialist Hospital,2024-12-13,Paediatric Ward,40,0,40,28,3,0,2,0,0,29,72.5,Underutilised,Bed Management System,True
BED000665,KPJ_01,JCORP Specialist Hospital,2024-12-14,Medical Ward,60,3,57,44,4,1,3,1,0,45,78.95,Normal,Bed Management System,True
BED000666,KPJ_01,JCORP Specialist Hospital,2024-12-14,Surgical Ward,55,0,55,41,4,1,3,1,0,42,76.36,Normal,Bed Management System,True
BED000667,KPJ_01,JCORP Specialist Hospital,2024-12-14,Maternity Ward,45,2,43,32,3,0,2,1,0,32,74.42,Underutilised,Bed Management System,True
BED000668,KPJ_01,JCORP Specialist Hospital,2024-12-14,Paediatric Ward,40,1,39,29,2,0,2,1,0,28,71.79,Underutilised,Bed Management System,True
BED000669,KPJ_01,JCORP Specialist Hospital,2024-12-15,Medical Ward,60,0,60,45,4,1,4,1,0,45,75.0,Normal,Bed Management System,True
BED000670,KPJ_01,JCORP Specialist Hospital,2024-12-15,Surgical Ward,55,0,55,42,3,0,3,0,0,42,76.36,Normal,Bed Management System,True
BED000671,KPJ_01,JCORP Specialist Hospital,2024-12-15,Maternity Ward,45,0,45,32,3,0,2,0,0,33,73.33,Underutilised,Bed Management System,True
BED000672,KPJ_01,JCORP Specialist Hospital,2024-12-15,Paediatric Ward,40,0,40,28,2,0,2,0,0,28,70.0,Underutilised,Bed Management System,True
BED000673,KPJ_01,JCORP Specialist Hospital,2024-12-16,Medical Ward,60,0,60,45,4,0,3,1,0,45,75.0,Normal,Bed Management System,True
BED000674,KPJ_01,JCORP Specialist Hospital,2024-12-16,Surgical Ward,55,0,55,42,3,0,3,0,0,42,76.36,Normal,Bed Management System,True
BED000675,KPJ_01,JCORP Specialist Hospital,2024-12-16,Maternity Ward,45,0,45,33,2,0,2,0,0,33,73.33,Underutilised,Bed Management System,True
BED000676,KPJ_01,JCORP Specialist Hospital,2024-12-16,Paediatric Ward,40,0,40,28,2,0,1,0,0,29,72.5,Underutilised,Bed Management System,True
BED000677,KPJ_01,JCORP Specialist Hospital,2024-12-17,Medical Ward,60,1,59,45,4,1,5,1,1,43,72.88,Underutilised,Bed Management System,True
BED000678,KPJ_01,JCORP Specialist Hospital,2024-12-17,Surgical Ward,55,3,52,42,4,1,4,1,1,41,78.85,Normal,Bed Management System,True
BED000679,KPJ_01,JCORP Specialist Hospital,2024-12-17,Maternity Ward,45,0,45,33,3,0,3,0,0,33,73.33,Underutilised,Bed Management System,True
BED000680,KPJ_01,JCORP Specialist Hospital,2024-12-17,Paediatric Ward,40,0,40,29,2,0,3,0,1,27,67.5,Underutilised,Bed Management System,True
BED000681,KPJ_01,JCORP Specialist Hospital,2024-12-18,Medical Ward,60,0,60,43,4,1,5,1,0,42,70.0,Underutilised,Bed Management System,True
BED000682,KPJ_01,JCORP Specialist Hospital,2024-12-18,Surgical Ward,55,0,55,41,3,1,4,1,0,40,72.73,Underutilised,Bed Management System,True
BED000683,KPJ_01,JCORP Specialist Hospital,2024-12-18,Maternity Ward,45,1,44,33,3,1,3,0,1,33,75.0,Normal,Bed Management System,True
BED000684,KPJ_01,JCORP Specialist Hospital,2024-12-18,Paediatric Ward,40,1,39,27,2,0,2,0,0,27,69.23,Underutilised,Bed Management System,True
BED000685,KPJ_01,JCORP Specialist Hospital,2024-12-19,Medical Ward,60,0,60,42,6,1,6,0,0,43,71.67,Underutilised,Bed Management System,True
BED000686,KPJ_01,JCORP Specialist Hospital,2024-12-19,Surgical Ward,55,1,54,40,5,0,5,0,1,39,72.22,Underutilised,Bed Management System,True
BED000687,KPJ_01,JCORP Specialist Hospital,2024-12-19,Maternity Ward,45,0,45,33,3,0,3,0,0,33,73.33,Underutilised,Bed Management System,True
BED000688,KPJ_01,JCORP Specialist Hospital,2024-12-19,Paediatric Ward,40,1,39,27,3,0,3,0,0,27,69.23,Underutilised,Bed Management System,True
BED000689,KPJ_01,JCORP Specialist Hospital,2024-12-20,Medical Ward,60,3,57,43,6,0,5,1,0,43,75.44,Normal,Bed Management System,True
BED000690,KPJ_01,JCORP Specialist Hospital,2024-12-20,Surgical Ward,55,0,55,39,5,0,4,0,0,40,72.73,Underutilised,Bed Management System,True
BED000691,KPJ_01,JCORP Specialist Hospital,2024-12-20,Maternity Ward,45,2,43,33,3,0,3,0,0,33,76.74,Normal,Bed Management System,True
BED000692,KPJ_01,JCORP Specialist Hospital,2024-12-20,Paediatric Ward,40,0,40,27,3,0,3,0,0,27,67.5,Underutilised,Bed Management System,True
BED000693,KPJ_01,JCORP Specialist Hospital,2024-12-21,Medical Ward,60,0,60,43,4,1,4,1,0,43,71.67,Underutilised,Bed Management System,True
