encounter_record_id,hospital_id,hospital_name,encounter_date,service_area,encounter_type,patient_encounters,queue_eligible_encounters,survey_eligible_encounters,admissions,discharges,transfers_in,transfers_out,source_system,synthetic_flag
EN000436,KPJ_01,JCORP Specialist Hospital,2024-11-23,Emergency Department,Emergency,171,157,55,0,0,0,0,Hospital Information System,True
EN000437,KPJ_01,JCORP Specialist Hospital,2024-11-23,Outpatient Department,Outpatient,104,96,77,0,0,0,0,Hospital Information System,True
EN000438,KPJ_01,JCORP Specialist Hospital,2024-11-23,Inpatient Wards,Inpatient,85,0,46,16,14,2,3,Hospital Information System,True
EN000439,KPJ_01,JCORP Specialist Hospital,2024-11-24,Emergency Department,Emergency,195,178,70,0,0,0,0,Hospital Information System,True
EN000440,KPJ_01,JCORP Specialist Hospital,2024-11-24,Outpatient Department,Outpatient,110,105,85,0,0,0,0,Hospital Information System,True
EN000441,KPJ_01,JCORP Specialist Hospital,2024-11-24,Inpatient Wards,Inpatient,82,0,44,13,16,4,2,Hospital Information System,True
EN000442,KPJ_01,JCORP Specialist Hospital,2024-11-25,Emergency Department,Emergency,145,131,56,0,0,0,0,Hospital Information System,True
EN000443,KPJ_01,JCORP Specialist Hospital,2024-11-25,Outpatient Department,Outpatient,378,365,291,0,0,0,0,Hospital Information System,True
EN000444,KPJ_01,JCORP Specialist Hospital,2024-11-25,Inpatient Wards,Inpatient,89,0,49,16,16,2,1,Hospital Information System,True
EN000445,KPJ_01,JCORP Specialist Hospital,2024-11-26,Emergency Department,Emergency,176,165,59,0,0,0,0,Hospital Information System,True
EN000446,KPJ_01,JCORP Specialist Hospital,2024-11-26,Outpatient Department,Outpatient,345,332,257,0,0,0,0,Hospital Information System,True
EN000447,KPJ_01,JCORP Specialist Hospital,2024-11-26,Inpatient Wards,Inpatient,89,0,47,14,13,3,1,Hospital Information System,True
EN000448,KPJ_01,JCORP Specialist Hospital,2024-11-27,Emergency Department,Emergency,155,141,52,0,0,0,0,Hospital Information System,True
EN000449,KPJ_01,JCORP Specialist Hospital,2024-11-27,Outpatient Department,Outpatient,356,336,265,0,0,0,0,Hospital Information System,True
EN000450,KPJ_01,JCORP Specialist Hospital,2024-11-27,Inpatient Wards,Inpatient,76,0,38,17,16,1,2,Hospital Information System,True
EN000451,KPJ_01,JCORP Specialist Hospital,2024-11-28,Emergency Department,Emergency,153,142,50,0,0,0,0,Hospital Information System,True
EN000452,KPJ_01,JCORP Specialist Hospital,2024-11-28,Outpatient Department,Outpatient,353,332,254,0,0,0,0,Hospital Information System,True
EN000453,KPJ_01,JCORP Specialist Hospital,2024-11-28,Inpatient Wards,Inpatient,85,0,48,16,16,1,1,Hospital Information System,True
EN000454,KPJ_01,JCORP Specialist Hospital,2024-11-29,Emergency Department,Emergency,143,134,43,0,0,0,0,Hospital Information System,True
EN000455,KPJ_01,JCORP Specialist Hospital,2024-11-29,Outpatient Department,Outpatient,364,340,264,0,0,0,0,Hospital Information System,True
EN000456,KPJ_01,JCORP Specialist Hospital,2024-11-29,Inpatient Wards,Inpatient,84,0,44,14,9,2,1,Hospital Information System,True
EN000457,KPJ_01,JCORP Specialist Hospital,2024-11-30,Emergency Department,Emergency,195,176,77,0,0,0,0,Hospital Information System,True
EN000458,KPJ_01,JCORP Specialist Hospital,2024-11-30,Outpatient Department,Outpatient,114,110,90,0,0,0,0,Hospital Information System,True
EN000459,KPJ_01,JCORP Specialist Hospital,2024-11-30,Inpatient Wards,Inpatient,93,0,52,17,17,4,2,Hospital Information System,True
EN000460,KPJ_01,JCORP Specialist Hospital,2024-12-01,Emergency Department,Emergency,189,172,60,0,0,0,0,Hospital Information System,True
EN000461,KPJ_01,JCORP Specialist Hospital,2024-12-01,Outpatient Department,Outpatient,91,86,64,0,0,0,0,Hospital Information System,True
EN000462,KPJ_01,JCORP Specialist Hospital,2024-12-01,Inpatient Wards,Inpatient,81,0,44,19,19,3,3,Hospital Information System,True
EN000463,KPJ_01,JCORP Specialist Hospital,2024-12-02,Emergency Department,Emergency,159,144,52,0,0,0,0,Hospital Information System,True
EN000464,KPJ_01,JCORP Specialist Hospital,2024-12-02,Outpatient Department,Outpatient,367,347,280,0,0,0,0,Hospital Information System,True
EN000465,KPJ_01,JCORP Specialist Hospital,2024-12-02,Inpatient Wards,Inpatient,86,0,44,14,10,2,0,Hospital Information System,True
EN000466,KPJ_01,JCORP Specialist Hospital,2024-12-03,Emergency Department,Emergency,153,144,49,0,0,0,0,Hospital Information System,True
EN000467,KPJ_01,JCORP Specialist Hospital,2024-12-03,Outpatient Department,Outpatient,302,279,224,0,0,0,0,Hospital Information System,True
EN000468,KPJ_01,JCORP Specialist Hospital,2024-12-03,Inpatient Wards,Inpatient,78,0,41,15,16,3,2,Hospital Information System,True
EN000469,KPJ_01,JCORP Specialist Hospital,2024-12-04,Emergency Department,Emergency,162,145,50,0,0,0,0,Hospital Information System,True
EN000470,KPJ_01,JCORP Specialist Hospital,2024-12-04,Outpatient Department,Outpatient,308,294,230,0,0,0,0,Hospital Information System,True
EN000471,KPJ_01,JCORP Specialist Hospital,2024-12-04,Inpatient Wards,Inpatient,75,0,43,15,16,2,2,Hospital Information System,True
EN000472,KPJ_01,JCORP Specialist Hospital,2024-12-05,Emergency Department,Emergency,166,153,53,0,0,0,0,Hospital Information System,True
EN000473,KPJ_01,JCORP Specialist Hospital,2024-12-05,Outpatient Department,Outpatient,289,271,223,0,0,0,0,Hospital Information System,True
EN000474,KPJ_01,JCORP Specialist Hospital,2024-12-05,Inpatient Wards,Inpatient,94,0,50,16,17,0,2,Hospital Information System,True
EN000475,KPJ_01,JCORP Specialist Hospital,2024-12-06,Emergency Department,Emergency,148,139,56,0,0,0,0,Hospital Information System,True
EN000476,KPJ_01,JCORP Specialist Hospital,2024-12-06,Outpatient Department,Outpatient,284,275,207,0,0,0,0,Hospital Information System,True
EN000477,KPJ_01,JCORP Specialist Hospital,2024-12-06,Inpatient Wards,Inpatient,88,0,46,19,21,1,1,Hospital Information System,True
EN000478,KPJ_01,JCORP Specialist Hospital,2024-12-07,Emergency Department,Emergency,158,144,48,0,0,0,0,Hospital Information System,True
EN000479,KPJ_01,JCORP Specialist Hospital,2024-12-07,Outpatient Department,Outpatient,106,100,80,0,0,0,0,Hospital Information System,True
EN000480,KPJ_01,JCORP Specialist Hospital,2024-12-07,Inpatient Wards,Inpatient,76,0,40,14,12,3,1,Hospital Information System,True
EN000481,KPJ_01,JCORP Specialist Hospital,2024-12-08,Emergency Department,Emergency,183,170,63,0,0,0,0,Hospital Information System,True
EN000482,KPJ_01,JCORP Specialist Hospital,2024-12-08,Outpatient Department,Outpatient,108,102,86,0,0,0,0,Hospital Information System,True
EN000483,KPJ_01,JCORP Specialist Hospital,2024-12-08,Inpatient Wards,Inpatient,77,0,41,11,9,1,2,Hospital Information System,True
EN000484,KPJ_01,JCORP Specialist Hospital,2024-12-09,Emergency Department,Emergency,154,142,56,0,0,0,0,Hospital Information System,True
EN000485,KPJ_01,JCORP Specialist Hospital,2024-12-09,Outpatient Department,Outpatient,374,344,289,0,0,0,0,Hospital Information System,True
EN000486,KPJ_01,JCORP Specialist Hospital,2024-12-09,Inpatient Wards,Inpatient,82,0,49,15,13,3,2,Hospital Information System,True
EN000487,KPJ_01,JCORP Specialist Hospital,2024-12-10,Emergency Department,Emergency,134,122,53,0,0,0,0,Hospital Information System,True
EN000488,KPJ_01,JCORP Specialist Hospital,2024-12-10,Outpatient Department,Outpatient,285,271,200,0,0,0,0,Hospital Information System,True
EN000489,KPJ_01,JCORP Specialist Hospital,2024-12-10,Inpatient Wards,Inpatient,90,0,53,19,16,2,1,Hospital Information System,True
EN000490,KPJ_01,JCORP Specialist Hospital,2024-12-11,Emergency Department,Emergency,167,152,50,0,0,0,0,Hospital Information System,True
EN000491,KPJ_01,JCORP Specialist Hospital,2024-12-11,Outpatient Department,Outpatient,347,330,257,0,0,0,0,Hospital Information System,True
EN000492,KPJ_01,JCORP Specialist Hospital,2024-12-11,Inpatient Wards,Inpatient,82,0,45,12,14,3,2,Hospital Information System,True
EN000493,KPJ_01,JCORP Specialist Hospital,2024-12-12,Emergency Department,Emergency,150,140,46,0,0,0,0,Hospital Information System,True
EN000494,KPJ_01,JCORP Specialist Hospital,2024-12-12,Outpatient Department,Outpatient,373,346,281,0,0,0,0,Hospital Information System,True
EN000495,KPJ_01,JCORP Specialist Hospital,2024-12-12,Inpatient Wards,Inpatient,82,0,47,18,20,2,2,Hospital Information System,True
EN000496,KPJ_01,JCORP Specialist Hospital,2024-12-13,Emergency Department,Emergency,145,130,46,0,0,0,0,Hospital Information System,True
EN000497,KPJ_01,JCORP Specialist Hospital,2024-12-13,Outpatient Department,Outpatient,341,320,254,0,0,0,0,Hospital Information System,True
EN000498,KPJ_01,JCORP Specialist Hospital,2024-12-13,Inpatient Wards,Inpatient,82,0,47,15,14,2,1,Hospital Information System,True
EN000499,KPJ_01,JCORP Specialist Hospital,2024-12-14,Emergency Department,Emergency,181,166,66,0,0,0,0,Hospital Information System,True
EN000500,KPJ_01,JCORP Specialist Hospital,2024-12-14,Outpatient Department,Outpatient,106,99,80,0,0,0,0,Hospital Information System,True
EN000501,KPJ_01,JCORP Specialist Hospital,2024-12-14,Inpatient Wards,Inpatient,83,0,46,13,10,2,4,Hospital Information System,True
EN000502,KPJ_01,JCORP Specialist Hospital,2024-12-15,Emergency Department,Emergency,182,164,72,0,0,0,0,Hospital Information System,True
EN000503,KPJ_01,JCORP Specialist Hospital,2024-12-15,Outpatient Department,Outpatient,115,109,84,0,0,0,0,Hospital Information System,True
EN000504,KPJ_01,JCORP Specialist Hospital,2024-12-15,Inpatient Wards,Inpatient,77,0,41,12,11,1,1,Hospital Information System,True
EN000505,KPJ_01,JCORP Specialist Hospital,2024-12-16,Emergency Department,Emergency,164,150,64,0,0,0,0,Hospital Information System,True
EN000506,KPJ_01,JCORP Specialist Hospital,2024-12-16,Outpatient Department,Outpatient,335,322,260,0,0,0,0,Hospital Information System,True
EN000507,KPJ_01,JCORP Specialist Hospital,2024-12-16,Inpatient Wards,Inpatient,80,0,44,11,9,0,1,Hospital Information System,True
EN000508,KPJ_01,JCORP Specialist Hospital,2024-12-17,Emergency Department,Emergency,158,142,52,0,0,0,0,Hospital Information System,True
EN000509,KPJ_01,JCORP Specialist Hospital,2024-12-17,Outpatient Department,Outpatient,313,304,233,0,0,0,0,Hospital Information System,True
EN000510,KPJ_01,JCORP Specialist Hospital,2024-12-17,Inpatient Wards,Inpatient,81,0,46,13,15,2,2,Hospital Information System,True
EN000511,KPJ_01,JCORP Specialist Hospital,2024-12-18,Emergency Department,Emergency,170,159,60,0,0,0,0,Hospital Information System,True
EN000512,KPJ_01,JCORP Specialist Hospital,2024-12-18,Outpatient Department,Outpatient,332,316,252,0,0,0,0,Hospital Information System,True
EN000513,KPJ_01,JCORP Specialist Hospital,2024-12-18,Inpatient Wards,Inpatient,84,0,48,12,14,3,2,Hospital Information System,True
EN000514,KPJ_01,JCORP Specialist Hospital,2024-12-19,Emergency Department,Emergency,161,150,60,0,0,0,0,Hospital Information System,True
EN000515,KPJ_01,JCORP Specialist Hospital,2024-12-19,Outpatient Department,Outpatient,309,293,242,0,0,0,0,Hospital Information System,True
EN000516,KPJ_01,JCORP Specialist Hospital,2024-12-19,Inpatient Wards,Inpatient,98,0,56,17,17,1,0,Hospital Information System,True
EN000517,KPJ_01,JCORP Specialist Hospital,2024-12-20,Emergency Department,Emergency,144,130,54,0,0,0,0,Hospital Information System,True
EN000518,KPJ_01,JCORP Specialist Hospital,2024-12-20,Outpatient Department,Outpatient,323,313,229,0,0,0,0,Hospital Information System,True
EN000519,KPJ_01,JCORP Specialist Hospital,2024-12-20,Inpatient Wards,Inpatient,96,0,49,17,15,0,1,Hospital Information System,True
EN000520,KPJ_01,JCORP Specialist Hospital,2024-12-21,Emergency Department,Emergency,178,161,59,0,0,0,0,Hospital Information System,True
EN000521,KPJ_01,JCORP Specialist Hospital,2024-12-21,Outpatient Department,Outpatient,106,100,84,0,0,0,0,Hospital Information System,True
EN000522,KPJ_01,JCORP Specialist Hospital,2024-12-21,Inpatient Wards,Inpatient,84,0,45,12,13,1,2,Hospital Information System,True
EN000523,KPJ_01,JCORP Specialist Hospital,2024-12-22,Emergency Department,Emergency,172,160,58,0,0,0,0,Hospital Information System,True
EN000524,KPJ_01,JCORP Specialist Hospital,2024-12-22,Outpatient Department,Outpatient,108,103,79,0,0,0,0,Hospital Information System,True
EN000525,KPJ_01,JCORP Specialist Hospital,2024-12-22,Inpatient Wards,Inpatient,82,0,41,15,18,2,2,Hospital Information System,True
EN000526,KPJ_01,JCORP Specialist Hospital,2024-12-23,Emergency Department,Emergency,157,147,57,0,0,0,0,Hospital Information System,True
EN000527,KPJ_01,JCORP Specialist Hospital,2024-12-23,Outpatient Department,Outpatient,362,337,270,0,0,0,0,Hospital Information System,True
EN000528,KPJ_01,JCORP Specialist Hospital,2024-12-23,Inpatient Wards,Inpatient,76,0,45,12,10,1,1,Hospital Information System,True
EN000529,KPJ_01,JCORP Specialist Hospital,2024-12-24,Emergency Department,Emergency,169,151,60,0,0,0,0,Hospital Information System,True
EN000530,KPJ_01,JCORP Specialist Hospital,2024-12-24,Outpatient Department,Outpatient,286,277,216,0,0,0,0,Hospital Information System,True
EN000531,KPJ_01,JCORP Specialist Hospital,2024-12-24,Inpatient Wards,Inpatient,82,0,45,15,13,0,1,Hospital Information System,True
EN000532,KPJ_01,JCORP Specialist Hospital,2024-12-25,Emergency Department,Emergency,174,162,58,0,0,0,0,Hospital Information System,True
EN000533,KPJ_01,JCORP Specialist Hospital,2024-12-25,Outpatient Department,Outpatient,327,305,250,0,0,0,0,Hospital Information System,True
EN000534,KPJ_01,JCORP Specialist Hospital,2024-12-25,Inpatient Wards,Inpatient,85,0,43,16,17,3,2,Hospital Information System,True
EN000535,KPJ_01,JCORP Specialist Hospital,2024-12-26,Emergency Department,Emergency,166,154,55,0,0,0,0,Hospital Information System,True
EN000536,KPJ_01,JCORP Specialist Hospital,2024-12-26,Outpatient Department,Outpatient,296,278,233,0,0,0,0,Hospital Information System,True
EN000537,KPJ_01,JCORP Specialist Hospital,2024-12-26,Inpatient Wards,Inpatient,74,0,44,15,16,1,2,Hospital Information System,True
EN000538,KPJ_01,JCORP Specialist Hospital,2024-12-27,Emergency Department,Emergency,181,161,57,0,0,0,0,Hospital Information System,True
EN000539,KPJ_01,JCORP Specialist Hospital,2024-12-27,Outpatient Department,Outpatient,353,340,271,0,0,0,0,Hospital Information System,True
EN000540,KPJ_01,JCORP Specialist Hospital,2024-12-27,Inpatient Wards,Inpatient,76,0,41,16,17,3,1,Hospital Information System,True
EN000541,KPJ_01,JCORP Specialist Hospital,2024-12-28,Emergency Department,Emergency,175,164,62,0,0,0,0,Hospital Information System,True
EN000542,KPJ_01,JCORP Specialist Hospital,2024-12-28,Outpatient Department,Outpatient,111,107,88,0,0,0,0,Hospital Information System,True
EN000543,KPJ_01,JCORP Specialist Hospital,2024-12-28,Inpatient Wards,Inpatient,65,0,37,12,11,1,1,Hospital Information System,True
EN000544,KPJ_01,JCORP Specialist Hospital,2024-12-29,Emergency Department,Emergency,154,144,58,0,0,0,0,Hospital Information System,True
EN000545,KPJ_01,JCORP Specialist Hospital,2024-12-29,Outpatient Department,Outpatient,97,90,72,0,0,0,0,Hospital Information System,True
EN000546,KPJ_01,JCORP Specialist Hospital,2024-12-29,Inpatient Wards,Inpatient,84,0,47,11,8,1,2,Hospital Information System,True
EN000547,KPJ_01,JCORP Specialist Hospital,2024-12-30,Emergency Department,Emergency,158,147,54,0,0,0,0,Hospital Information System,True
EN000548,KPJ_01,JCORP Specialist Hospital,2024-12-30,Outpatient Department,Outpatient,354,329,256,0,0,0,0,Hospital Information System,True
EN000549,KPJ_01,JCORP Specialist Hospital,2024-12-30,Inpatient Wards,Inpatient,88,0,51,16,15,2,1,Hospital Information System,True
EN000550,KPJ_01,JCORP Specialist Hospital,2024-12-31,Emergency Department,Emergency,160,150,51,0,0,0,0,Hospital Information System,True
EN000551,KPJ_01,JCORP Specialist Hospital,2024-12-31,Outpatient Department,Outpatient,288,267,221,0,0,0,0,Hospital Information System,True
EN000552,KPJ_01,JCORP Specialist Hospital,2024-12-31,Inpatient Wards,Inpatient,73,0,41,12,14,1,1,Hospital Information System,True
EN000553,KPJ_01,JCORP Specialist Hospital,2025-01-01,Emergency Department,Emergency,152,136,51,0,0,0,0,Hospital Information System,True
EN000554,KPJ_01,JCORP Specialist Hospital,2025-01-01,Outpatient Department,Outpatient,346,335,268,0,0,0,0,Hospital Information System,True
EN000555,KPJ_01,JCORP Specialist Hospital,2025-01-01,Inpatient Wards,Inpatient,78,0,47,16,17,1,3,Hospital Information System,True
EN000556,KPJ_01,JCORP Specialist Hospital,2025-01-02,Emergency Department,Emergency,165,149,56,0,0,0,0,Hospital Information System,True
EN000557,KPJ_01,JCORP Specialist Hospital,2025-01-02,Outpatient Department,Outpatient,292,281,210,0,0,0,0,Hospital Information System,True
EN000558,KPJ_01,JCORP Specialist Hospital,2025-01-02,Inpatient Wards,Inpatient,83,0,42,15,15,2,3,Hospital Information System,True
EN000559,KPJ_01,JCORP Specialist Hospital,2025-01-03,Emergency Department,Emergency,153,142,47,0,0,0,0,Hospital Information System,True
EN000560,KPJ_01,JCORP Specialist Hospital,2025-01-03,Outpatient Department,Outpatient,285,266,226,0,0,0,0,Hospital Information System,True
EN000561,KPJ_01,JCORP Specialist Hospital,2025-01-03,Inpatient Wards,Inpatient,90,0,53,15,13,0,2,Hospital Information System,True
EN000562,KPJ_01,JCORP Specialist Hospital,2025-01-04,Emergency Department,Emergency,179,165,57,0,0,0,0,Hospital Information System,True
EN000563,KPJ_01,JCORP Specialist Hospital,2025-01-04,Outpatient Department,Outpatient,112,107,80,0,0,0,0,Hospital Information System,True
EN000564,KPJ_01,JCORP Specialist Hospital,2025-01-04,Inpatient Wards,Inpatient,83,0,44,13,12,2,4,Hospital Information System,True
EN000565,KPJ_01,JCORP Specialist Hospital,2025-01-05,Emergency Department,Emergency,164,146,57,0,0,0,0,Hospital Information System,True
EN000566,KPJ_01,JCORP Specialist Hospital,2025-01-05,Outpatient Department,Outpatient,113,106,89,0,0,0,0,Hospital Information System,True
EN000567,KPJ_01,JCORP Specialist Hospital,2025-01-05,Inpatient Wards,Inpatient,90,0,53,18,16,1,3,Hospital Information System,True
EN000568,KPJ_01,JCORP Specialist Hospital,2025-01-06,Emergency Department,Emergency,150,138,50,0,0,0,0,Hospital Information System,True
EN000569,KPJ_01,JCORP Specialist Hospital,2025-01-06,Outpatient Department,Outpatient,377,348,279,0,0,0,0,Hospital Information System,True
EN000570,KPJ_01,JCORP Specialist Hospital,2025-01-06,Inpatient Wards,Inpatient,86,0,46,15,16,3,2,Hospital Information System,True
EN000571,KPJ_01,JCORP Specialist Hospital,2025-01-07,Emergency Department,Emergency,164,154,64,0,0,0,0,Hospital Information System,True
EN000572,KPJ_01,JCORP Specialist Hospital,2025-01-07,Outpatient Department,Outpatient,331,309,237,0,0,0,0,Hospital Information System,True
EN000573,KPJ_01,JCORP Specialist Hospital,2025-01-07,Inpatient Wards,Inpatient,91,0,51,14,15,2,1,Hospital Information System,True
EN000574,KPJ_01,JCORP Specialist Hospital,2025-01-08,Emergency Department,Emergency,156,139,54,0,0,0,0,Hospital Information System,True
EN000575,KPJ_01,JCORP Specialist Hospital,2025-01-08,Outpatient Department,Outpatient,365,344,268,0,0,0,0,Hospital Information System,True
EN000576,KPJ_01,JCORP Specialist Hospital,2025-01-08,Inpatient Wards,Inpatient,76,0,42,17,14,3,0,Hospital Information System,True
EN000577,KPJ_01,JCORP Specialist Hospital,2025-01-09,Emergency Department,Emergency,160,145,56,0,0,0,0,Hospital Information System,True
EN000578,KPJ_01,JCORP Specialist Hospital,2025-01-09,Outpatient Department,Outpatient,319,300,239,0,0,0,0,Hospital Information System,True
EN000579,KPJ_01,JCORP Specialist Hospital,2025-01-09,Inpatient Wards,Inpatient,83,0,42,17,18,1,2,Hospital Information System,True
EN000580,KPJ_01,JCORP Specialist Hospital,2025-01-10,Emergency Department,Emergency,151,139,60,0,0,0,0,Hospital Information System,True
EN000581,KPJ_01,JCORP Specialist Hospital,2025-01-10,Outpatient Department,Outpatient,378,365,265,0,0,0,0,Hospital Information System,True
EN000582,KPJ_01,JCORP Specialist Hospital,2025-01-10,Inpatient Wards,Inpatient,75,0,41,11,12,2,3,Hospital Information System,True
EN000583,KPJ_01,JCORP Specialist Hospital,2025-01-11,Emergency Department,Emergency,180,168,70,0,0,0,0,Hospital Information System,True
EN000584,KPJ_01,JCORP Specialist Hospital,2025-01-11,Outpatient Department,Outpatient,110,102,85,0,0,0,0,Hospital Information System,True
EN000585,KPJ_01,JCORP Specialist Hospital,2025-01-11,Inpatient Wards,Inpatient,76,0,41,10,6,1,2,Hospital Information System,True
EN000586,KPJ_01,JCORP Specialist Hospital,2025-01-12,Emergency Department,Emergency,179,165,58,0,0,0,0,Hospital Information System,True
EN000587,KPJ_01,JCORP Specialist Hospital,2025-01-12,Outpatient Department,Outpatient,108,101,77,0,0,0,0,Hospital Information System,True
EN000588,KPJ_01,JCORP Specialist Hospital,2025-01-12,Inpatient Wards,Inpatient,73,0,40,14,17,2,2,Hospital Information System,True
EN000589,KPJ_01,JCORP Specialist Hospital,2025-01-13,Emergency Department,Emergency,170,157,64,0,0,0,0,Hospital Information System,True
EN000590,KPJ_01,JCORP Specialist Hospital,2025-01-13,Outpatient Department,Outpatient,371,341,293,0,0,0,0,Hospital Information System,True
EN000591,KPJ_01,JCORP Specialist Hospital,2025-01-13,Inpatient Wards,Inpatient,83,0,44,10,12,2,1,Hospital Information System,True
EN000592,KPJ_01,JCORP Specialist Hospital,2025-01-14,Emergency Department,Emergency,157,141,51,0,0,0,0,Hospital Information System,True
EN000593,KPJ_01,JCORP Specialist Hospital,2025-01-14,Outpatient Department,Outpatient,317,303,246,0,0,0,0,Hospital Information System,True
EN000594,KPJ_01,JCORP Specialist Hospital,2025-01-14,Inpatient Wards,Inpatient,74,0,37,15,15,1,1,Hospital Information System,True
EN000595,KPJ_01,JCORP Specialist Hospital,2025-01-15,Emergency Department,Emergency,126,118,38,0,0,0,0,Hospital Information System,True
EN000596,KPJ_01,JCORP Specialist Hospital,2025-01-15,Outpatient Department,Outpatient,328,311,249,0,0,0,0,Hospital Information System,True
EN000597,KPJ_01,JCORP Specialist Hospital,2025-01-15,Inpatient Wards,Inpatient,73,0,37,12,14,2,2,Hospital Information System,True
EN000598,KPJ_01,JCORP Specialist Hospital,2025-01-16,Emergency Department,Emergency,162,150,55,0,0,0,0,Hospital Information System,True
EN000599,KPJ_01,JCORP Specialist Hospital,2025-01-16,Outpatient Department,Outpatient,360,344,265,0,0,0,0,Hospital Information System,True
EN000600,KPJ_01,JCORP Specialist Hospital,2025-01-16,Inpatient Wards,Inpatient,78,0,42,13,10,2,2,Hospital Information System,True
EN000601,KPJ_01,JCORP Specialist Hospital,2025-01-17,Emergency Department,Emergency,154,139,61,0,0,0,0,Hospital Information System,True
EN000602,KPJ_01,JCORP Specialist Hospital,2025-01-17,Outpatient Department,Outpatient,304,287,236,0,0,0,0,Hospital Information System,True
EN000603,KPJ_01,JCORP Specialist Hospital,2025-01-17,Inpatient Wards,Inpatient,89,0,47,19,15,2,3,Hospital Information System,True
EN000604,KPJ_01,JCORP Specialist Hospital,2025-01-18,Emergency Department,Emergency,194,182,68,0,0,0,0,Hospital Information System,True
EN000605,KPJ_01,JCORP Specialist Hospital,2025-01-18,Outpatient Department,Outpatient,107,104,78,0,0,0,0,Hospital Information System,True
EN000606,KPJ_01,JCORP Specialist Hospital,2025-01-18,Inpatient Wards,Inpatient,85,0,43,13,12,2,2,Hospital Information System,True
EN000607,KPJ_01,JCORP Specialist Hospital,2025-01-19,Emergency Department,Emergency,174,159,57,0,0,0,0,Hospital Information System,True
EN000608,KPJ_01,JCORP Specialist Hospital,2025-01-19,Outpatient Department,Outpatient,108,100,79,0,0,0,0,Hospital Information System,True
EN000609,KPJ_01,JCORP Specialist Hospital,2025-01-19,Inpatient Wards,Inpatient,74,0,40,10,10,2,1,Hospital Information System,True
EN000610,KPJ_01,JCORP Specialist Hospital,2025-01-20,Emergency Department,Emergency,147,136,50,0,0,0,0,Hospital Information System,True
EN000611,KPJ_01,JCORP Specialist Hospital,2025-01-20,Outpatient Department,Outpatient,382,359,271,0,0,0,0,Hospital Information System,True
EN000612,KPJ_01,JCORP Specialist Hospital,2025-01-20,Inpatient Wards,Inpatient,82,0,48,14,17,3,2,Hospital Information System,True
EN000613,KPJ_01,JCORP Specialist Hospital,2025-01-21,Emergency Department,Emergency,147,132,57,0,0,0,0,Hospital Information System,True
EN000614,KPJ_01,JCORP Specialist Hospital,2025-01-21,Outpatient Department,Outpatient,347,324,251,0,0,0,0,Hospital Information System,True
EN000615,KPJ_01,JCORP Specialist Hospital,2025-01-21,Inpatient Wards,Inpatient,95,0,49,17,15,1,1,Hospital Information System,True
EN000616,KPJ_01,JCORP Specialist Hospital,2025-01-22,Emergency Department,Emergency,152,141,50,0,0,0,0,Hospital Information System,True
EN000617,KPJ_01,JCORP Specialist Hospital,2025-01-22,Outpatient Department,Outpatient,275,261,199,0,0,0,0,Hospital Information System,True
EN000618,KPJ_01,JCORP Specialist Hospital,2025-01-22,Inpatient Wards,Inpatient,77,0,41,13,13,1,2,Hospital Information System,True
EN000619,KPJ_01,JCORP Specialist Hospital,2025-01-23,Emergency Department,Emergency,146,131,50,0,0,0,0,Hospital Information System,True
EN000620,KPJ_01,JCORP Specialist Hospital,2025-01-23,Outpatient Department,Outpatient,354,342,250,0,0,0,0,Hospital Information System,True
EN000621,KPJ_01,JCORP Specialist Hospital,2025-01-23,Inpatient Wards,Inpatient,86,0,49,19,18,2,1,Hospital Information System,True
EN000622,KPJ_01,JCORP Specialist Hospital,2025-01-24,Emergency Department,Emergency,145,130,45,0,0,0,0,Hospital Information System,True
EN000623,KPJ_01,JCORP Specialist Hospital,2025-01-24,Outpatient Department,Outpatient,318,296,230,0,0,0,0,Hospital Information System,True
EN000624,KPJ_01,JCORP Specialist Hospital,2025-01-24,Inpatient Wards,Inpatient,83,0,47,17,14,1,2,Hospital Information System,True
EN000625,KPJ_01,JCORP Specialist Hospital,2025-01-25,Emergency Department,Emergency,165,149,59,0,0,0,0,Hospital Information System,True
EN000626,KPJ_01,JCORP Specialist Hospital,2025-01-25,Outpatient Department,Outpatient,119,112,89,0,0,0,0,Hospital Information System,True
EN000627,KPJ_01,JCORP Specialist Hospital,2025-01-25,Inpatient Wards,Inpatient,76,0,39,12,11,0,2,Hospital Information System,True
EN000628,KPJ_01,JCORP Specialist Hospital,2025-01-26,Emergency Department,Emergency,151,139,55,0,0,0,0,Hospital Information System,True
EN000629,KPJ_01,JCORP Specialist Hospital,2025-01-26,Outpatient Department,Outpatient,114,109,91,0,0,0,0,Hospital Information System,True
EN000630,KPJ_01,JCORP Specialist Hospital,2025-01-26,Inpatient Wards,Inpatient,75,0,43,13,13,3,3,Hospital Information System,True
EN000631,KPJ_01,JCORP Specialist Hospital,2025-01-27,Emergency Department,Emergency,148,135,52,0,0,0,0,Hospital Information System,True
EN000632,KPJ_01,JCORP Specialist Hospital,2025-01-27,Outpatient Department,Outpatient,347,325,273,0,0,0,0,Hospital Information System,True
EN000633,KPJ_01,JCORP Specialist Hospital,2025-01-27,Inpatient Wards,Inpatient,71,0,41,9,7,2,2,Hospital Information System,True
EN000634,KPJ_01,JCORP Specialist Hospital,2025-01-28,Emergency Department,Emergency,155,140,49,0,0,0,0,Hospital Information System,True
